NVERTS 12
NFACES 20

VERTEX
0, -500, -309
0, -500, 309
0, 500, 309
0, 500, -309
-309, 0, -500
309, 0, -500
309, 0, 500
-309, 0, 500
-500, -309, 0
-500, 309, 0
500, 309, 0
500, -309, 0

FACES
127,127,127,	-0.934162,-0.000000,0.356850,	3,	8,7,9
127,127,127,	-0.934162,0.000000,-0.356850,	3,	9,4,8
127,127,127,	-0.577350,0.577350,-0.577350,	3,	4,9,3
127,127,127,	-0.577350,-0.577350,-0.577350,	3,	4,0,8
127,127,127,	-0.577350,-0.577350,0.577350,	3,	8,1,7
127,127,127,	-0.577350,0.577350,0.577350,	3,	9,7,2
127,127,127,	-0.356850,0.934162,0.000000,	3,	3,9,2
127,127,127,	-0.356850,-0.934162,0.000000,	3,	8,0,1
127,127,127,	0.000000,-0.356850,-0.934162,	3,	5,0,4
127,127,127,	-0.000000,0.356850,-0.934162,	3,	4,3,5
127,127,127,	0.000000,-0.356850,0.934162,	3,	7,1,6
127,127,127,	-0.000000,0.356850,0.934162,	3,	6,2,7
127,127,127,	0.356850,-0.934162,0.000000,	3,	0,11,1
127,127,127,	0.356850,0.934162,0.000000,	3,	2,10,3
127,127,127,	0.577350,-0.577350,-0.577350,	3,	5,11,0
127,127,127,	0.577350,0.577350,-0.577350,	3,	3,10,5
127,127,127,	0.577350,-0.577350,0.577350,	3,	11,6,1
127,127,127,	0.577350,0.577350,0.577350,	3,	10,2,6
127,127,127,	0.934162,0.000000,-0.356850,	3,	10,11,5
127,127,127,	0.934162,-0.000000,0.356850,	3,	10,6,11

TEXTURES
left_metal.png	256 256 0 0 128 256 256 0
left_metal.png	256 256 0 0 128 256 256 0
left_metal.png	256 256 0 0 128 256 256 0
left_metal.png	256 256 0 0 128 256 256 0
left_metal.png	256 256 0 0 128 256 256 0
left_metal.png	256 256 0 0 128 256 256 0
left_metal.png	256 256 0 0 128 256 256 0
left_metal.png	256 256 0 0 128 256 256 0
left_metal.png	256 256 0 0 128 256 256 0
left_metal.png	256 256 0 0 128 256 256 0
left_metal.png	256 256 0 0 128 256 256 0
left_metal.png	256 256 0 0 128 256 256 0
left_metal.png	256 256 0 0 128 256 256 0
left_metal.png	256 256 0 0 128 256 256 0
left_metal.png	256 256 0 0 128 256 256 0
left_metal.png	256 256 0 0 128 256 256 0
left_metal.png	256 256 0 0 128 256 256 0
left_metal.png	256 256 0 0 128 256 256 0
left_metal.png	256 256 0 0 128 256 256 0
left_metal.png	256 256 0 0 128 256 256 0

END
